X_COORD,Y_COORD
373687,1934478
337190.0526,1941472.774
331736.1334,1935291.8
345409.6875,1959297
364835.1875,1978466
350723.0938,1942736
390982.9063,1963964
361000.0938,1970080
365099.8125,1972591
360984,1964150
337358.1875,1966363
352329.1596,1951096.455
335196.5938,1940100
341535.8662,1947382.728
356794.4675,1927450.527
358116.0938,1901188
349622.5,1954430
346767.787,1922241.711
351634.5,1929857
337013.1875,1944520.582
334727.4063,1917900
362273.5,1940849
330398.3125,1947532
359919.9063,1940681
360186.0938,1966067
333482.2667,1917446.067
360800,1976806
343601.0938,1952318
363122.4063,1977217
327462.8125,1939221
357363.4063,1963443
396635.1875,1980761
354699.958,1950310.728
362113.9063,1968993
386114.2635,1941539.346
331371,1936717
362064.4768,1932350.975
333071,1938739
314351.6246,1897200.381
270702.9063,1883367
322497.3125,1910878
287617.5938,1877197
311536,1907935
272293.5938,1888898
280130.6875,1890914
282149.186,1901165.234
296362.8125,1905202
278883.8125,1900691
273308.1875,1895290
293550,1908034.846
275351.0938,1899431
272606,1894536
306034.9389,1907000.636
279959.0938,1901340
287265.5756,1900867.873
277880.5938,1894618
317861.0938,1910749
281043.8638,1894896.364
285962.7573,1904543.997
284634.6561,1907674.691
283131.9991,1909239.25
292580.4624,1891592.908
283093.3125,1900251
332744.5938,1910523
289303.5938,1901671
294508.1427,1919546.624
310665.5938,1906359
285243,1902936
285991.6875,1915890
294468.1992,1896932.388
280177.4063,1890223
320494.6139,1918907.226
278515.3125,1889290
285946.3125,1900817
297994.3521,1904718.946
273095,1898877
282666.4063,1897809
273148.4063,1898008
321820.7763,1896659.839
309302.6875,1908946
312591.6875,1908177
284795,1889169
279587.0938,1897709
276676,1899851
273490.5938,1889998
289266.5872,1910208.396
280471.1875,1898278
279444.5938,1900914
272833.6875,1895806
288791.4241,1911020.302
307897.9063,1901427
288462.5951,1912897.137
287042.5938,1907152
309401.8261,1896461.432
328762.9852,1890048.908
326428.73,1910207.892
303300.5425,1905479.854
280085.0938,1899430
293635.77,1903614.364
293288.5068,1894488.589
304612,1917082
293720.5988,1922116.099
352829.0938,2034048
346906.5,2027229
346421.5122,2020867.8
338650,2016396.873
347930.8125,2030506
344206.521,2015743.655
349309.7145,2031817.804
349405.2677,2038925.997
356335.5,2023552
344266.9063,2026170.364
362861.8125,2041044
356942.1875,2026164
353402.8125,2033829
341747.3335,2028973.582
341540.5001,2036437.794
346321.5,2022869
373581.7417,2013215.091
352642.9063,2017353.655
339750,2032854
346272.3125,2024434
354361.1484,2014571.042
340263.8125,2025754.582
352883.4063,2035916
344287.8197,2035091.842
351096.9063,2015857.8
350559.6035,2024440.31
351104.2934,2032334.146
353089.4394,2025152.437
350367.9284,2033728.76
351976.9063,2035039
346654.9814,2025844.019
347538.5,2029364
336496.4063,2019308
349152.5938,2028976
338814.8428,2024032.364
341869.1875,2028040
340487.9063,2023394
333185.3125,2019593
340439.4063,2022455.728
346143.5215,2018236.582
352595.5938,2044433
352897.5,2034507
378947.8817,2029540.361
347939.8125,2033072
348252.77,2032977.509
345504,2034677
341615.9063,2030098
316890,1987929
329811.4063,1973083
300437.6002,1978475.598
337033.4063,1992823
277894.1875,1940627
332631,1995021
302981.0136,1978726.599
330700.6875,2016852
289771.27,1982187.926
326985.2354,1975594.783
282702.5938,1942387
331064.3125,1986971
319955.1875,1946900
324231.6273,1963412.581
282878.292,1970738.528
299475.9387,1979432.597
283577.6973,1980085.601
334831.4063,1999570
289711.8428,1981305.144
300422.3001,1976619.798
296855.4063,1978189.997
322812.6772,2005290.302
323827.8458,1960035.89
340019.5938,2007663
312111.0124,1976171.998
333789.2603,2012223.728
334846.1875,1997785
332894.5364,2015894.493
323987.5,1995249
328378.8125,2006153.509
330210.5303,2011849.655
334479.0938,2013781
326344.1504,2011922.448
319526.5537,2003676.185
353043.6899,1987671.942
327317.002,1981382.807
278106.9063,1945625
335145.5,1995535
292471.833,1978586.289
334791.5938,2001487
321456.5,1993625
326351.0938,2000870
350743.4063,1878755
350239.0425,1826184.582
360041.5938,1865292
349047.1875,1876803
335387.6875,1832315
369915.8125,1876495
362970.0938,1860615
339213.6875,1841565
360247.0938,1860559
360633.0938,1880500
363211.9063,1864673
337110,1884880
348760.9063,1827831
353159.6709,1859097.982
366076.5,1877622
355582.3125,1837183
352870.0029,1857556.286
337577.3088,1842631.062
360196.044,1879889.323
339318.3125,1882745
360697.2122,1891694.273
353964.3125,1826545
353862.4063,1879356
356307.9965,1879437.342
333656.7188,1837783.676
360162.8125,1845707
338204.777,1831623.646
342918.5,1842005
348017.1758,1847072.199
344610.4063,1843757
364460.4063,1876703
354289.8125,1832324
357462.1875,1867063
361252.4453,1860704.987
346879.3125,1879985
345750,1880150
276349.3125,1787828
294711.3125,1769610
336324,1825408
298717.309,1798722.653
326305.6917,1821409.115
281407.9353,1791974.04
295748.751,1778067.832
308065.5679,1782933.466
285651.0994,1774571.23
272476.8034,1775601.154
284649.8726,1799930.903
274717.8125,1768207
263690.9599,1768689.291
292737.6388,1794972.53
302807.5863,1784511.806
304410.2341,1784496.602
307699.3292,1809720.365
272684.8623,1762110.289
305337.1836,1804815.725
299138.5587,1786814.541
264656.8939,1792417.222
284051.7796,1786702.645
292730.5618,1788293.404
277504.093,1781516.388
273739.0938,1785445
287019.3574,1796817.92
313372.9063,1817884
290717.2961,1776515.723
341184.1875,1809661
277618.7508,1801432.409
275499.7962,1781043.244
266626.3125,1772484
304163.2802,1796970.615
270951.8803,1792681.554
307093.9063,1780787
334121.1875,1799693
283626.3125,1796768
265506.4578,1782511.154
296029.4063,1784414
276144.1932,1799424.94
275263.1272,1778546.917
297079.5364,1793991.717
293395.0938,1802206
331352.5664,1837144.153
291074.2632,1799783.13
264776.8792,1796437.285
290845.0938,1781212
278286.0845,1795783.291
274701.5938,1795358
275267.8125,1778541
280730.1479,1784956.563
297952.8911,1800705.747
282652.0772,1774338.61
332757.3606,1826666.603
279218.124,1772779.767
310155.917,1812047.396
325073.2018,1827220.854
291684.4636,1775332.148
306538,1785844
297875.3166,1787872.494
330154.2621,1912222.932
352569.0904,1931474.488
346625.7904,1921880.499
290745.1799,1898827.157
360817,1973680
339334,1942273
355760.1316,1954451.96
357490.7086,1943220.523
355521.9671,1947485.236
341948.3066,1975445.004
351329.6891,1941288.578
356744.0233,1944419.312
348898.6611,1848436.02
333879.4779,1827037.954
265131.2832,1763513.329
299441.62,1800824.06
362129.9257,1891421.75
375366.8423,2015316.408
335261.4172,1993829.425
295248.1709,1940581.321
363254.7626,1940369.902
365411.2411,1940102.104
338842.8628,1923456.345
317658.6333,1896690.642
289920.4007,1887726.457
272929.7795,1896833.201
274977.3577,1892430.908
280464.8671,1893782.31
283413.3796,1901133.115
289412.7836,1904429.716
290743.7094,1904859.708
289412.7836,1902504.993
292504.6266,1903426.403
307861.4627,1901317.397
356114.5614,1847012.426
336950.5096,1818506.299
